system,query_id,concurrency,attempt,latency_ms,timestamp
helix,q1,1,0,1862.2384660011448,1762550160388
helix,q2,1,0,724.658114999329,1762550161113
helix,q3,1,0,764.998585000285,1762550161878
helix,q1,1,1,1600.4630120005459,1762550163479
helix,q2,1,1,1339.0718609989563,1762550164818
helix,q3,1,1,820.2698940003756,1762550165638
helix,q1,1,2,2402.483403999213,1762550168041
helix,q2,1,2,2154.43228300137,1762550170196
helix,q3,1,2,919.0953679972154,1762550171115
helix,q2,4,0,907.977035996737,1762550257333
helix,q1,4,1,922.061785000551,1762550257347
helix,q3,4,0,1006.264851999731,1762550257431
helix,q1,4,0,1204.274540003098,1762550257628
helix,q3,4,1,498.9914299985685,1762550257847
helix,q1,4,2,607.096718998946,1762550258039
helix,q2,4,1,1187.4882629999775,1762550258520
helix,q2,4,2,1140.3837819998444,1762550258769
helix,q3,4,2,922.2826670011273,1762550258769
helix,q3,16,0,981.5890909994778,1762550282691
helix,q1,16,0,996.0527900002489,1762550282704
helix,q1,16,1,1004.7140930000751,1762550282713
helix,q2,16,2,1021.7123080001329,1762550282733
helix,q3,16,1,1036.2770669999009,1762550282746
helix,q2,16,0,1076.7388370004483,1762550282785
helix,q1,16,2,1076.0514360008528,1762550282787
helix,q3,16,2,1082.0627239991154,1762550282794
helix,q2,16,1,1328.4445290009899,1762550283037
